id,date_accident,accident_type,district,longitude,latitude,road_condition,weather_condition,road_part,number_of_participants,vehicle_brand_uz,vehicle_model_uz,vehicle_color_uz,year_manufacture
163975,2023-10-19T18:40:46,piyodani urib yuborish,Yunusobod tumani,69.3372,41.3587,quruq,kun ochiq,yo'lning tog'ri qismi,2,Chevrolet,Malibu 2,qora,2022.0
163974,2023-10-18T22:50:59,piyodani urib yuborish,Yakkasaroy tumani,69.2273,41.2617,quruq,kun ochiq,yo'lning tog'ri qismi,2,,,kulrang,2022.0
163973,2023-10-18T17:00:58,piyodani urib yuborish,Bektemir tumani,69.3358,41.2282,quruq,kun ochiq,yo'lning tog'ri qismi,2,Chevrolet,Spark,oq,2012.0
163972,2023-10-18T12:30:33,piyodani urib yuborish,Mirzo ulug'bek tumani,69.3697,41.3351,quruq,kun ochiq,tartibga solingan chorraha,2,Chevrolet,Nexia 3,oq,2020.0
163971,2023-08-02T15:15:25,ag'darilish,To'raqo'rg'on tumani,71.5494,40.9345,quruq,kun ochiq,boshqa holatlar,1,Daewoo,Damas,oq,2019.0
163970,2023-09-09T15:00:40,piyodani urib yuborish,To'raqo'rg'on tumani,71.4670,40.9595,quruq,kun ochiq,tartibga solingan chorraha,2,Lada(VAZ),2106,oq,1987.0
163969,2023-11-20T18:00:38,piyodani urib yuborish,Jizzax shahri,67.8290,40.1269,quruq,kun ochiq,yo'lning tog'ri qismi,2,Chevrolet,Nexia,oq,2020.0
163968,2023-10-15T00:30:59,piyodani urib yuborish,Chust tumani,71.2463,40.9679,quruq,kun ochiq,boshqa holatlar,2,Chevrolet,Lacetti,oq,2021.0
163967,2023-10-25T15:15:32,piyodani urib yuborish,Uchqo'rg'on tumani,72.1060,41.1149,quruq,kun ochiq,boshqa holatlar,2,Chevrolet,Nexia 3,oq,2021.0
163966,2023-10-27T14:30:00,to'qnashuv,Uychi tumani,71.8492,41.0143,quruq,kun ochiq,,3,Chevrolet,Damas,oq,2020.0
163965,2023-10-26T08:00:16,piyodani urib yuborish,Namangan shahri,71.6318,41.0268,quruq,kun ochiq,yo'lning tog'ri qismi,2,Chevrolet,Spark,oq,2011.0
163964,2023-11-03T22:30:28,YTHning boshqa turlari,Chust tumani,71.2285,40.9924,quruq,kun ochiq,yo'lning tog'ri qismi,2,Chevrolet,Lacetti,oq,2007.0
163963,2023-10-18T06:30:59,piyodani urib yuborish,Chust tumani,71.2340,40.9925,quruq,kun ochiq,boshqa holatlar,2,Chevrolet,Damas,oq,1997.0
163962,2023-10-21T19:15:46,piyodani urib yuborish,Norin tumani,72.2056,40.9797,quruq,kun ochiq,yo'lning tog'ri qismi,2,AZLK,412,ko'k,1988.0
163961,2023-11-01T08:30:54,to'qnashuv,Uychi tumani,71.8520,41.0215,quruq,kun ochiq,yo'lning tog'ri qismi,2,Chevrolet,Lacetti,oq,2021.0
163960,2023-10-19T07:50:52,piyodani urib yuborish,Mingbuloq tumani,71.5892,40.9228,quruq,kun ochiq,yo'lning tog'ri qismi,2,Chevrolet,Matiz,oq,2010.0
163959,2023-10-24T08:00:02,piyodani urib yuborish,Namangan shahri,71.6487,40.9841,quruq,kun ochiq,yo'lning tog'ri qismi,2,Chevrolet,Cobalt,oq,2015.0
163958,2023-11-03T21:00:34,velosipedchini urib yuborish,Pop tumani,71.1008,40.8703,quruq,kun ochiq,yo'lning tog'ri qismi,2,Chevrolet,Spark,oq,2011.0
163957,2023-11-21T03:00:02,to'qnashuv,Sharof Rashidov tumani,67.7237,40.0541,quruq,kun ochiq,yo'lning tog'ri qismi,3,Chevrolet,Lacetti,kulrang,2006.0
163956,2023-11-20T11:30:00,ot-aravani urib yuborish,Zomin tumani,68.5164,40.1786,quruq,kun ochiq,yo'lning tog'ri qismi,2,Chevrolet,Nexia,qora,2009.0
163955,2023-11-19T23:25:56,to'qnashuv,G'allaorol tumani,67.6206,39.9541,quruq,kun ochiq,yo'lning tog'ri qismi,3,Chevrolet,Nexia,oq,2011.0
163954,2023-11-19T21:00:36,piyodani urib yuborish,Sharof Rashidov tumani,67.9269,40.0954,quruq,kun ochiq,yo'lning tog'ri qismi,2,Chevrolet,Lacetti,oq,2012.0
163953,2023-11-18T19:50:19,piyodani urib yuborish,Sharof Rashidov tumani,67.8646,40.1739,xo'l,yomg'irli ,yo'lning tog'ri qismi,2,Lada(VAZ),2121,yashil,1989.0
163952,2023-11-18T19:00:40,ag'darilish,G'allaorol tumani,67.5190,40.1124,quruq,yomg'irli ,yo'lning tog'ri qismi,1,Muravey (Муравей),Муравей-2 01,yashil,2022.0
163951,2023-11-19T12:55:34,ag'darilish,,,,,,,0,,,,
163950,2023-11-16T16:30:58,to'qnashuv,Parkent tumani,69.8455,41.3152,quruq,kun ochiq,yo'lning tog'ri qismi,1,Chevrolet,Damas,oq,2016.0
163949,2023-11-15T11:30:11,to'qnashuv,Parkent tumani,69.6870,41.2880,quruq,kun ochiq,yo'lning tog'ri qismi,1,Chevrolet,Cobalt,kulrang,2013.0
163948,2023-06-06T22:15:31,ag'darilish,Navbahor tumani,65.4343,40.3384,quruq,kun ochiq,yo'lning tog'ri qismi,1,Chevrolet,Spark,oq,2014.0
163947,2023-06-05T12:40:29,velosipedchini urib yuborish,Xatirchi tumani,66.0385,40.0561,quruq,kun ochiq,yo'lning tog'ri qismi,2,Chevrolet,Nexia 2,oq,2011.0
163946,2023-06-05T21:05:02,velosipedchini urib yuborish,Navbahor tumani,65.3607,40.1921,quruq,kun ochiq,yo'lning tog'ri qismi,2,Chevrolet,Matiz,oq,2014.0
163945,2023-06-05T14:45:49,velosipedchini urib yuborish,Qiziltepa tumani,64.7480,40.0002,quruq,kun ochiq,yo'lning tog'ri qismi,4,Chevrolet,Matiz,oq,2011.0
163944,2023-06-03T13:00:47,piyodani urib yuborish,Zarafshon shahri,64.2050,41.5703,quruq,kun ochiq,yo'lning tog'ri qismi,2,Chevrolet,Damas,oq,2004.0
163943,2023-05-29T00:40:31,piyodani urib yuborish,Tomdi tumani,64.4574,41.4798,quruq,kun ochiq,yo'lning tog'ri qismi,2,Chevrolet,Lacetti,oq,2023.0
163942,2023-05-25T09:15:16,to'qnashuv,Tomdi tumani,64.6832,41.8100,quruq,kun ochiq,yo'lning tog'ri qismi,3,ISUZU,SAZ NP 21,oq,2013.0
163941,2023-11-16T12:13:01,ag'darilish,,,,,,,0,,,,
163940,2023-05-23T19:00:00,piyodani urib yuborish,Karmana tumani,65.4478,40.1011,quruq,kun ochiq,yo'lning tog'ri qismi,2,Lada(VAZ),2101,oq,2009.0
163939,2023-05-21T07:15:03,to'qnashuv,Karmana tumani,65.2455,40.1347,quruq,kun ochiq,yo'lning tog'ri qismi,2,Chevrolet,Cobalt,oq,2020.0
163938,2023-05-19T08:10:22,hayvonni urib yuborish,Konimex tumani,64.7477,40.9133,quruq,kun ochiq,yo'lning tog'ri qismi,1,Chevrolet,Lacetti,oq,2020.0
163937,2023-05-18T08:15:43,ag'darilish,Konimex tumani,65.0856,40.4010,quruq,kun ochiq,yo'lning tog'ri qismi,3,Chevrolet,Cobalt,oq,2023.0
163936,2023-05-18T08:15:48,ag'darilish,,,,,,,0,,,,
163935,2023-05-16T09:40:05,piyodani urib yuborish,Xatirchi tumani,66.0097,40.0797,quruq,kun ochiq,yo'lning tog'ri qismi,2,Chevrolet,Nexia 2,oq,2011.0
163934,2023-11-09T13:30:42,to'qnashuv,Qo'rg'ontepa tumani,72.7658,40.7458,quruq,kun ochiq,yo'lning tog'ri qismi,2,Chevrolet,Lacetti,oq,2011.0
163933,2023-11-09T13:30:42,to'qnashuv,,,,,,,0,,,,
163932,2023-11-08T12:00:55,to'qnashuv,Qo'rg'ontepa tumani,72.7561,40.7187,quruq,kun ochiq,yo'lning tog'ri qismi,2,Daewoo,Damas,oq,2011.0
163931,2023-11-03T13:00:41,to'qnashuv,Qo'rg'ontepa tumani,72.8486,40.7299,quruq,kun ochiq,yo'lning tog'ri qismi,2,GAZ,53,"moviy, havorang",1990.0
163930,2023-11-01T11:00:23,velosipedchini urib yuborish,Qo'rg'ontepa tumani,72.7619,40.7304,quruq,kun ochiq,yo'lning tog'ri qismi,2,Daewoo,Nexia 2,kulrang,2015.0
163929,2023-10-30T18:00:18,to'qnashuv,Qo'rg'ontepa tumani,72.7513,40.7951,quruq,kun ochiq,yo'lning tog'ri qismi,2,Daewoo,Matiz,oq,2013.0
163928,2023-10-26T15:30:57,piyodani urib yuborish,Qo'rg'ontepa tumani,72.7541,40.7295,quruq,kun ochiq,piyodalar o'tish joyi,2,Chevrolet,Nexia 3,oq,2018.0
163927,2023-10-26T09:00:18,to'qnashuv,Qo'rg'ontepa tumani,72.7866,40.7291,,kun ochiq,,2,Daewoo,Damas,oq,2017.0
163926,2023-10-25T12:00:59,piyodani urib yuborish,Qo'rg'ontepa tumani,72.7553,40.7780,quruq,kun ochiq,yo'lning tog'ri qismi,2,Chevrolet,Damas,oq,2014.0
163925,2023-10-25T06:00:57,to'qnashuv,Qo'rg'ontepa tumani,72.7861,40.7285,quruq,kun ochiq,yo'lning tog'ri qismi,2,Chevrolet,Cobalt,oq,2019.0
163924,2023-10-24T18:10:47,to'qnashuv,Qo'rg'ontepa tumani,72.8929,40.7316,quruq,kun ochiq,yo'lning tog'ri qismi,2,Daewoo,Matiz,kulrang,2009.0
163923,2023-10-24T18:10:47,to'qnashuv,,,,,,,0,,,,
163922,2023-10-23T14:30:30,to'qnashuv,Qo'rg'ontepa tumani,72.9787,40.5976,quruq,kun ochiq,yo'lning tog'ri qismi,2,Daewoo,Tico,yashil,1997.0
163921,2023-10-23T19:45:55,to'qnashuv,Qo'rg'ontepa tumani,72.7627,40.7152,xo'l,yomg'irli ,yo'lning tog'ri qismi,2,Lada(VAZ),GRANTA 21900,kulrang,2015.0
163920,2023-11-04T19:30:04,ag'darilish,Mingbuloq tumani,,,,,,0,,,,
163919,2023-10-31T08:00:21,to'qnashuv,Parkent tumani,69.5754,41.3072,quruq,kun ochiq,yo'lning tog'ri qismi,1,Chevrolet,Spark,oq,1996.0
163918,2023-10-23T08:45:40,piyodani urib yuborish,Qo'rg'ontepa tumani,72.7554,40.7446,quruq,kun ochiq,tartibga solingan chorraha,2,Daewoo,Nexia 2,oq,2015.0
163917,2023-10-21T19:30:11,piyodani urib yuborish,Qo'rg'ontepa tumani,72.7591,40.7310,quruq,kun ochiq,yo'lning tog'ri qismi,2,Chevrolet,Cobalt,yashil,2018.0
163916,2023-10-18T19:30:47,velosipedchini urib yuborish,Qo'rg'ontepa tumani,72.8300,40.8106,quruq,kun ochiq,yo'lning tog'ri qismi,2,KAMAZ,5511,ko'k,
163915,2023-11-12T18:30:16,to'qnashuv,Parkent tumani,69.6241,41.2724,quruq,kun ochiq,yo'lning tog'ri qismi,1,Chevrolet,Nexia 2,oq,2014.0
163914,2023-05-16T13:10:11,piyodani urib yuborish,Nurota tumani,66.1570,40.3719,quruq,kun ochiq,yo'lning tog'ri qismi,2,Lada(VAZ),2101,kulrang,1974.0
163913,2023-05-15T19:00:55,piyodani urib yuborish,Navoiy shahri,65.3808,40.1031,quruq,kun ochiq,piyodalar o'tish joyi,2,Chevrolet,Spark,oq,2019.0
163912,2023-05-13T17:10:56,ag'darilish,Qiziltepa tumani,64.6461,39.9107,quruq,kun ochiq,yo'lning burilish qismi,2,Chevrolet,Tracker,oq,2021.0
163911,2023-05-13T03:10:56,piyodani urib yuborish,Karmana tumani,65.0895,40.1135,quruq,,piyodalar o'tish joyi,2,Chevrolet,Labo,oq,1997.0
163910,2023-05-13T03:10:56,piyodani urib yuborish,,,,,,,0,,,,
163908,2023-05-13T03:10:56,piyodani urib yuborish,,,,,,,0,,,,
163907,2023-05-13T03:10:56,piyodani urib yuborish,,,,,,,0,,,,
163906,2023-05-13T03:10:56,piyodani urib yuborish,,,,,,,0,,,,
163905,2023-05-13T03:10:56,piyodani urib yuborish,,,,,,,0,,,,
163904,2023-05-13T03:10:56,piyodani urib yuborish,,,,,,,0,,,,
163903,2023-11-13T12:55:16,to'qnashuv,Mingbuloq tumani,71.4674,40.8164,quruq,kun ochiq,yo'lning tog'ri qismi,3,Daewoo,Damas,oq,2006.0
163902,2023-05-12T22:20:07,to'qnashuv,Qiziltepa tumani,64.7938,39.9522,quruq,kun ochiq,yo'lning burilish qismi,2,Chevrolet,Spark,oq,2012.0
163901,2023-05-12T10:30:19,to'qnashuv,Navoiy shahri,65.3815,40.1061,quruq,kun ochiq,yo'lning tog'ri qismi,3,Chevrolet,Lacetti,oq,2022.0
163900,2023-05-12T12:45:52,to'qnashuv,Qiziltepa tumani,64.8322,40.0461,quruq,kun ochiq,tartibga solingan chorraha,3,Lada(VAZ),2106,qizil,1981.0
163899,2023-05-11T20:35:09,piyodani urib yuborish,Navoiy shahri,65.3853,40.0950,quruq,kun ochiq,piyodalar o'tish joyi,2,Chevrolet,Lacetti,oq,2022.0
163898,2023-11-16T19:40:32,piyodani urib yuborish,Baxmal tumani,67.4004,39.7478,quruq,kun ochiq,yo'lning tog'ri qismi,2,Chevrolet,Spark,kulrang,2015.0
163897,2023-11-16T17:50:04,velosipedchini urib yuborish,Mirzacho'l tumani,68.1634,40.6657,quruq,kun ochiq,tartibga solinmagan chorraha,2,Chevrolet,Lacetti,oq,2010.0
163896,2023-11-16T00:15:45,ag'darilish,,,,,,,0,,,,
163895,2023-11-16T05:30:59,to'qnashuv,Sharof Rashidov tumani,67.7820,40.0531,quruq,kun ochiq,,6,GAZ,53,"moviy, havorang",1991.0
163894,2023-11-10T10:45:25,to'siqqa urilish,Mingbuloq tumani,71.4420,40.8460,quruq,kun ochiq,tartibga solingan chorraha,3,Chevrolet,Damas,oq,2016.0
163893,2023-11-10T10:00:05,velosipedchini urib yuborish,Mingbuloq tumani,71.5010,40.8344,quruq,kun ochiq,yo'lning tog'ri qismi,2,Chevrolet,Damas,oq,2017.0
163892,2023-10-15T15:30:26,to'qnashuv,Qo'rg'ontepa tumani,72.8660,40.7294,quruq,kun ochiq,yo'lning tog'ri qismi,4,Chevrolet,Spark,oq,2022.0
163891,2023-10-13T20:00:31,YTHning boshqa turlari,Qo'rg'ontepa tumani,72.7553,40.7757,quruq,kun ochiq,yo'lning tog'ri qismi,1,Daewoo,Nexia 2,oq,2014.0
163890,2023-11-13T16:00:39,velosipedchini urib yuborish,Parkent tumani,69.6407,41.1641,quruq,kun ochiq,yo'lning tog'ri qismi,1,Chevrolet,Spark,kulrang,2011.0
163889,2023-10-12T19:30:27,piyodani urib yuborish,Qo'rg'ontepa tumani,72.8869,40.7302,quruq,kun ochiq,yo'lning tog'ri qismi,3,Daewoo,Nexia 2,kulrang,2013.0
163888,2023-10-11T18:30:20,piyodani urib yuborish,Qo'rg'ontepa tumani,72.7540,40.7296,quruq,kun ochiq,piyodalar o'tish joyi,2,Daewoo,Nexia 2,kulrang,2010.0
163887,2023-10-11T09:30:25,to'qnashuv,Qo'rg'ontepa tumani,72.7696,40.7298,quruq,kun ochiq,yo'lning tog'ri qismi,2,Chevrolet,Damas,oq,2017.0
163886,2023-11-13T12:22:31,to'qnashuv,,,,,,,0,,,,
163885,2023-10-10T09:30:24,to'qnashuv,,,,,,,0,,,,
163884,2023-10-08T19:20:25,to'qnashuv,Qo'rg'ontepa tumani,72.8717,40.7283,quruq,kun ochiq,yo'lning tog'ri qismi,2,Chevrolet,Nexia 2,kulrang,2009.0
163883,2023-10-08T19:20:25,to'qnashuv,,,,,,,0,,,,
163882,2023-10-08T19:20:25,to'qnashuv,,,,,,,0,,,,
163881,2023-10-08T18:30:06,to'qnashuv,Qo'rg'ontepa tumani,72.7591,40.7302,quruq,kun ochiq,tartibga solingan chorraha,2,Chevrolet,Monza,qora,2023.0
163880,2023-10-08T04:30:35,hayvonni urib yuborish,Qo'rg'ontepa tumani,72.7579,40.7188,quruq,kun ochiq,yo'lning tog'ri qismi,1,Chevrolet,Lacetti,oq,2016.0
163879,2023-11-13T12:00:30,YTHning boshqa turlari,Parkent tumani,69.7763,41.2486,quruq,kun ochiq,yo'lning tog'ri qismi,1,Lada(VAZ),2106,oq,1991.0
163878,2023-11-08T11:00:17,to'qnashuv,Parkent tumani,69.6785,41.2941,quruq,kun ochiq,yo'lning tog'ri qismi,1,Chevrolet,Lacetti,oq,2012.0
163877,2023-11-13T06:50:17,to'qnashuv,Parkent tumani,69.6602,41.2980,quruq,kun ochiq,piyodalar o'tish joyi,1,ISUZU,SAZ NP 37,oq,2013.0
163876,2023-11-09T07:30:09,to'qnashuv,Parkent tumani,69.5667,41.3078,quruq,kun ochiq,yo'lning tog'ri qismi,1,Chevrolet,Nexia,oq,2003.0
163875,2023-11-02T15:00:02,piyodani urib yuborish,Parkent tumani,69.6381,41.3025,quruq,kun ochiq,boshqa holatlar,1,Volkswagen,AMAROK,oq,2022.0
163874,2023-11-13T22:40:50,piyodani urib yuborish,Mirzacho'l tumani,68.1572,40.6565,quruq,kun ochiq,yo'lning tog'ri qismi,2,Chevrolet,Nexia,oq,1997.0
163873,2023-11-13T19:40:21,piyodani urib yuborish,Zomin tumani,68.3165,39.9625,quruq,kun ochiq,yo'lning tog'ri qismi,2,Chevrolet,Nexia,oq,2018.0
163872,2023-09-23T12:00:46,YTHning boshqa turlari,Yangiqo'rg'on tumani,71.6607,41.1002,quruq,kun ochiq,yo'lning tog'ri qismi,1,Chevrolet,Lacetti,oq,2020.0
163871,2023-09-20T17:00:35,to'qnashuv,Yangiqo'rg'on tumani,71.7018,41.5114,quruq,kun ochiq,yo'lning tog'ri qismi,2,Chevrolet,Lacetti,oq,2011.0
163870,2023-09-14T11:00:04,to'qnashuv,Yangiqo'rg'on tumani,71.6913,41.2442,quruq,kun ochiq,yo'lning tog'ri qismi,2,ZIL,130,jigarrang,2011.0
163869,2023-09-13T09:00:22,piyodani urib yuborish,Yangiqo'rg'on tumani,71.6906,41.4880,quruq,kun ochiq,yo'lning tog'ri qismi,3,Chevrolet,Evanda,oq,2020.0
163868,2023-09-05T16:00:56,to'qnashuv,Yangiqo'rg'on tumani,71.7692,41.2582,quruq,kun ochiq,yo'lning tog'ri qismi,2,Daewoo,Damas,oq,2005.0
163867,2023-09-04T13:00:12,to'qnashuv,Yangiqo'rg'on tumani,71.6927,41.1380,quruq,kun ochiq,yo'lning tog'ri qismi,2,Chevrolet,Lacetti,oq,
163866,2023-09-03T10:00:08,velosipedchini urib yuborish,Yangiqo'rg'on tumani,71.7276,41.1862,quruq,kun ochiq,yo'lning tog'ri qismi,2,Chevrolet,Lacetti,oq,2021.0
163865,2023-09-02T09:00:16,to'qnashuv,Yangiqo'rg'on tumani,71.7869,41.2522,quruq,kun ochiq,yo'lning tog'ri qismi,2,Lada(VAZ),2106,oq,
163864,2023-11-12T15:22:29,to'qnashuv,,,,,,,0,,,,
163863,2023-11-12T22:00:24,to'qnashuv,Zomin tumani,68.4880,40.1097,quruq,kun ochiq,yo'lning tog'ri qismi,3,Chevrolet,Nexia,oq,2012.0
163862,2023-11-11T23:40:16,piyodani urib yuborish,Sharof Rashidov tumani,67.8169,40.1586,xo'l,yomg'irli ,yo'lning tog'ri qismi,2,Chevrolet,Damas,oq,2015.0
163861,2023-10-18T12:20:39,piyodani urib yuborish,Yunusobod tumani,69.3091,41.3565,quruq,kun ochiq,yo'lning tog'ri qismi,2,Chevrolet,Lacetti,oq,2020.0
163860,2023-10-12T22:30:23,to'qnashuv,Uchtepa tumani,69.1634,41.3083,quruq,kun ochiq,yo'lning tog'ri qismi,2,Chevrolet,Spark,oq,2020.0
163859,2023-10-17T16:15:41,turgan TVga urilish,Yakkasaroy tumani,69.2460,41.2704,quruq,kun ochiq,yo'lning tog'ri qismi,2,Daewoo,Damas,qaymoq rang,2022.0
